,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Colombia,0.9271997744249546,0.3435271697190762,0.09443677599054857,0.38570301301607357,-1,0.48352990207121377,0.22662497707868084,0.4980179786256396,False
Comoros,0.740595851569553,0.057764680335327154,0.031282045979305395,0.06536163432874217,-1,0.07957969358471664,0.04998213554350638,0.08030015555023616,True
Cabo Verde,0.851465544852664,0.10213203333828556,0.06669922964144284,0.11616201732987291,-1,0.1877466701043414,0.18593523759015243,0.19102231602518727,True
Costa Rica,0.8884621886432761,0.3414094737975444,0.08803844353170005,0.44078491281324433,-1,0.328825765578178,0.1653997880746404,0.3724257400523258,False
Cuba,0.7507061029932249,0.4971914749456096,0.23969443094079193,0.5773065345640878,-1,0.7421744101485961,0.4651122277067377,0.7934113292416914,False
Curacao,0.6924425598824749,0.37501937060688423,0.13794136235529622,0.4450258943580844,-1,0.5217271183286482,0.24115134017258297,0.5347366145384038,False
Cyprus,0.830282156778547,0.20893262998329296,0.08909375402809609,0.2646841156652528,-1,0.08039837536276069,0.054726485985890486,0.0911607150799572,False
Czechia,0.6226941770365744,0.1332355290062119,0.3941064773728768,0.14724361527071123,-1,0.12578780282880878,0.467149725971181,0.13817982642016,True
Germany,0.6307966529098006,0.2346475551612596,0.1458165342395599,0.269250800785723,-1,0.30662391416697776,0.2246264960424078,0.3194856369434261,False
Djibouti,0.8060600673961515,0.07276109909853654,0.0433477032889654,0.0856673162626905,-1,0.14823218750025663,0.11468294431283706,0.15859874358602155,True
Dominica,0.8244924478299351,0.3878287936759641,0.11524919519258901,0.4984718618212874,-1,0.3480715121548201,0.1713228150410725,0.36599982948136844,False
Denmark,0.34042495416188323,0.12205183523219515,0.23381461622059854,0.14670681419956053,-1,0.15885174654255294,0.26511033272097434,0.16506223049883853,True
Dominican Republic,0.9258301501372324,0.38131732365781423,0.09750292999638112,0.4454182364942868,-1,0.6944519207512583,0.27038758747483244,0.7380304804440339,False
Algeria,0.8645834968212744,0.13407292474128388,0.0913395376678735,0.15405238919006428,-1,0.1214236904655007,0.12624362669431657,0.13844950967760392,True
Ecuador,0.9750088850696326,0.1825010152128635,0.044933512842970126,0.21318448111917937,-1,0.3356051059862918,0.12451273751355155,0.3690579275894174,False
"Egypt, Arab Rep.",0.9580809462277595,0.04496302792176818,0.029340508755108356,0.051390895221824974,-1,0.05099393834203501,0.04388344746616429,0.054923408802838,True
Eritrea,0.6437013021211958,0.05190815035699662,0.029109321057577735,0.06059203272559034,-1,0.1049585071160503,0.0671890968999845,0.1094790125394938,True
Spain,0.8387231059269716,0.12775177709018531,0.37489046163424183,0.14884846274338265,-1,0.22424294479370946,0.7265800825021543,0.24556222386031407,True
Estonia,0.39402832895260986,0.20910746109650094,0.11886145331298405,0.23965727191189834,-0.6626719846058002,0.15444331659223717,0.09921383204922478,0.17030458038309937,False
Ethiopia,0.2435281189438474,0.34660406825808987,0.05206085731964782,0.4201899755960086,-1,0.7797739767660385,0.14110994467267593,0.8631040008853514,False
Finland,0.27843630774501504,0.11564143159322844,0.19243825598676806,0.13716738812963936,-1,0.12179141734396785,0.2017153445182755,0.12844019341972948,True
Fiji,0.8711342061853673,0.29786168994875833,0.07282198758168096,0.35881624991151817,-1,0.39602639105026416,0.13945044481097352,0.41142359142131035,False
France,0.6224729255339974,0.09889324834029298,0.14077866757196514,0.10995914890895175,-1,0.1780800653523775,0.26084249605530624,0.18616176525720576,True
Faroe Islands,0.3034958161474234,0.07317132980178198,0.0780653891890589,0.09143959728923705,-1,0.06971741910020027,0.07433949159438424,0.07625221979065212,True
"Micronesia, Fed. Sts.",0.9094484750545666,0.05400836645074311,0.0322402375021206,0.0671701504663547,-1,0.09716156263716029,0.07903505283362877,0.10094338878613189,True
Gabon,0.07643668337676468,0.43745801704710296,0.08794236574363518,0.48939883188911343,-1,0.6222248120443707,0.14843669056149644,0.6244727674285563,False
United Kingdom,0.6173194679332582,0.2060461869294265,0.1008648386981839,0.25660958529142613,-1,0.32774232001977444,0.17631326837383127,0.3650068316717043,False
Georgia,0.8886492515464484,0.04566928719686401,0.07183521333110086,0.06428993174422112,-1,0.10254438357913338,0.18725695752882004,0.11897349823207332,True
Ghana,0.9076058538785742,0.04378992297969418,0.024611560034736395,0.04886986480639552,-0.3744749998847716,0.0468820876379862,0.03189105036284667,0.04867973637567294,True
Gibraltar,0.7676154026954375,0.19590996270044453,0.0726789494056458,0.2539317440202283,-1,0.16100031273604282,0.09378309516107666,0.18618211680051217,False
Guinea,0.11745081669060775,0.25433445920646064,0.04100091521352565,0.2942520896779502,-1,0.4944662804518668,0.08902782407664547,0.5111825406319905,False
"Gambia, The",0.5313363864432832,0.14336682506266607,0.02323753769211887,0.15783619810695892,-1,0.17812679833307143,0.031237246026359577,0.18041635817754856,False
Guinea-Bissau,0.07035665750733777,0.33034416959709106,0.054261938838402676,0.38702853436780155,-1,0.6040601148043198,0.11428373611570757,0.6282108354614189,False
Equatorial Guinea,0.004934625353169353,0.12031297665427822,0.021077645224049445,0.1674579560885228,-1,0.33808910845453244,0.06335064557772535,0.387684280551827,False
Greece,0.7713693296544165,0.19802031830560698,0.11413724401212408,0.21688120296165403,-1,0.22209351775618194,0.1542545801550516,0.2673453952541786,False
Grenada,0.8642346848798965,0.34619893790909273,0.088140630884133,0.436488815360068,-1,0.3087254333105375,0.13518892518449438,0.3454176825115471,False
Greenland,0.10427403253532097,0.054328034579632145,0.06509466690536456,0.06612482767974534,-1,0.059141931795664515,0.0729997591369318,0.07304911889867657,True
Guatemala,0.9064423980331593,0.04488495838902267,0.027716787691517076,0.05674054446388872,-0.7205438806656854,0.10903535399282749,0.08547125218503966,0.12353011760187042,True
Guam,0.7618662288202637,0.38414452662339094,0.10635922626571515,0.4619786193617455,-1,0.5588481455639936,0.1901944096149295,0.6135556103335698,False
Guyana,0.880294933195067,0.3770748928388464,0.10269728483045495,0.4167982837562877,-1,0.5995189665652443,0.21733684225929523,0.6119743140314403,False
"Hong Kong SAR, China",0.8442518990772961,0.44621879396808617,0.2520752194351928,0.5524016864799977,-1,0.8113246439804362,0.7735224868729773,0.8841419364609523,False
Honduras,0.9332416907017027,0.053283703670710315,0.03301397615132134,0.06585947915603081,-0.516451377607017,0.11646587555276496,0.10070916561185979,0.12824103896684202,True
Croatia,0.9008869219660101,0.03884039363496931,0.08132101241153958,0.047167168827338096,-1,0.04881955150186157,0.12874002844022586,0.052989887212949505,True
Haiti,0.8241794786386027,0.053366965435505884,0.03353879114357009,0.06472348859601627,-1,0.11877278846804744,0.0918648559910484,0.12369330207449734,True
Hungary,0.6281045537376204,0.14070407313332772,0.08005726460202997,0.17584458361986358,-1,0.09490433952947788,0.0737999739182769,0.10860421160338884,False
Indonesia,0.947952645626623,0.2397183193832098,0.0672549765618606,0.27596029668589994,-1,0.3641283493379147,0.14747218625301955,0.4434696806660909,False
Isle of Man,0.6034873971042876,0.1902293691526487,0.08827011431484301,0.24453996812394396,-1,0.3075403795352631,0.15170761008672923,0.365534250458087,False
