,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Benin,0.46637481071230247,0.29209409269295605,0.07841475005879318,0.35374421561526115,-1,0.20908476999821274,0.04839494784378,0.24067174577608524,True
Burkina Faso,0.4176780463419102,0.3309906953291179,0.1038870106588755,0.4739420510350852,-1,0.17938858034786093,0.0406641938165979,0.19966253815397259,True
Bangladesh,0.6487402677382856,0.8791045312008742,2119.812731275594,1.0154240534771877,-1,0.8443177943637534,0.1855823436774858,0.9560074089549719,True
Bulgaria,0.6247152081136711,0.011539588993317541,0.0025287152664168733,0.014142728355844653,-0.9911793086588407,0.011689926540090222,0.002568295411227487,0.013007824330588743,True
Bahrain,0.5542792921268446,0.04401109649640023,0.009815789270521827,0.05656977555052775,-1,0.041353953458117855,0.009020587356366783,0.04548149445819652,True
"Bahamas, The",0.4678604373764581,0.10669449632522718,0.025260297403402406,0.1537925648622784,-1,0.08326160383262451,0.01827624573129332,0.0896569119866146,True
Bosnia and Herzegovina,0.4411024085213676,0.1392936430588562,0.03329137728958201,0.1834282419255595,-1,0.06917587649009808,0.015424494240754937,0.08921657467516288,True
Belarus,0.001592500331837332,0.05524405604719689,0.012864652753587967,0.12232712227526121,-0.027480610353006085,0.08928995802956216,0.021865881064829097,0.20438457579898572,True
Belize,0.6790722272635175,0.09941317935054615,0.02334316654482618,0.12884923674485785,-1,0.07893864348917683,0.017324280959323823,0.09784632018191956,True
Bolivia,0.7342268990184462,0.29934836763559064,0.09840101149122626,0.3870343732152287,-1,0.25204540364060285,0.056145295170944035,0.29949540925567614,True
Brazil,0.8263476870066891,0.0842562156412593,0.020057608008475777,0.10772611346304897,-1,0.08107827300082349,0.01764443053611512,0.09817465471942373,True
Barbados,0.5165304101260044,0.07592469664476924,0.017404756108613972,0.09341937845978149,-1,0.06797255163933391,0.015205771374543991,0.08387254798210411,True
Brunei Darussalam,0.24329813981928472,3.458786635683063,0.03716134696126935,4.007128464756241,-0.31811333236711636,2.365728226993032,0.025171498262127546,2.906734673215499,False
Bhutan,0.550923748497884,0.4056633375524999,0.12057797761897847,0.4969818250456335,-1,0.38004811665102023,0.08378654962738663,0.4176495141189006,True
Botswana,0.6692180348283874,0.03733335409790555,0.008334275806158262,0.04740920593574818,-1,0.04603266805708426,0.010093955052430287,0.05338234858804614,True
Central African Republic,0.26739160646621185,11.553929595348494,0.38369880679653,14.91636324243288,-1,6.208159677335949,0.13681309283525245,7.658891825863329,False
Canada,0.3055525660677316,1.540341026524287,0.017223727086258984,1.9998957947362304,-0.14743279057015357,2.1420461591457127,0.023570861245463367,2.599688276785931,False
Switzerland,0.6287216719117663,0.013244176219818507,0.0029412028928430516,0.015218889958971726,0.468806521874618,0.006743615069525611,0.0014823379300983035,0.007572298069738196,True
Chile,0.039008904537383926,0.027323202992445554,0.006017816610509067,0.03211151929812287,-0.4764402568675268,0.019745831561392712,0.004336576429662349,0.02297932014076732,True
China,0.29964196898907136,5.855462445125983,0.07099162340011035,7.631856066059521,0.5306512656517812,3.3195352697095415,0.03635513370452897,3.7045589470734455,False
Cote d'Ivoire,0.7963006257191952,0.12585000074478153,0.03403698044480234,0.16604201475114144,-1,0.10698598949468056,0.02539943149601192,0.16418449106800603,True
Cameroon,0.6192588531393692,0.20943007463910968,0.07596670619968526,0.35875553649934694,-1,0.10344659302336448,0.023520348012287924,0.14278064842226773,True
"Congo, Dem. Rep.",0.34022338103554495,0.31573066238742925,0.09551751771730234,0.3592076471217489,-1,0.270217084304287,0.06510747931811019,0.30241524876367265,True
