,r2,mae,mape,rmse,val r2,val mae,val mape,val rmse,use_log
Central African Republic,0.28464425478936217,2.4019537848758343,0.051899561982037254,2.6879475920461697,-1,2.225183505651205,0.047741177736978786,2.4941671764019024,False
Canada,0.9929143511859068,0.0027829885384206255,0.0006435139575638113,0.0032830550662370553,0.9111886852677842,0.002166400223350173,0.0004936483329340978,0.0023351406451680525,True
Switzerland,0.994040965102384,0.0025920801457574097,0.0005995206837522228,0.0031548502226304395,0.9528053428837194,0.001570253432327373,0.00035670138867640417,0.0018799571352181702,True
Channel Islands,0.9335798132197073,0.009078254883666172,0.002111065261851509,0.011180147177601574,0.836658352373038,0.003500545921919773,0.0007975406614434022,0.004107707779131539,True
Chile,0.954061696291425,0.017698976748171436,0.004189513137365079,0.02127483886024871,-1,0.03180067600640415,0.007292072245556709,0.034572443686215856,True
China,0.7638983801375991,0.04473127052710636,0.011238786493485132,0.07708942453821266,-1,0.0575623537000995,0.013341988480849077,0.059802167870715635,True
Cote d'Ivoire,0.6769734674628308,0.05197222226392616,0.013397467315039725,0.05895518392698999,-1,0.05963363374620871,0.015054966351870305,0.06106408086136319,True
Cameroon,0.6795765727721499,0.04609175228657649,0.01193037843377618,0.06015916087232592,-1,0.050845602690375635,0.012685541761250557,0.050968185784021416,True
"Congo, Dem. Rep.",0.9760770686432191,0.4957304511625262,0.010490049892238567,0.6546992738119114,0.3480348778832436,1.015410779137941,0.018285771399162466,1.1881816507409195,False
"Congo, Rep.",0.27920595269781534,0.039523450608858715,0.00991882246516189,0.048484425982399985,-0.24993234061813618,0.03770149389313682,0.009205569600427291,0.0436927674370616,True
Colombia,0.9615594455011449,0.0117502814270579,0.002809198215814861,0.01416280253516742,0.4933738943211533,0.010640762189182595,0.0024752674261383544,0.010672249930966589,True
Comoros,0.9547996654790019,0.024921657028750745,0.006327608238430619,0.02834117001017257,-1,0.05116038712837012,0.01247869732035807,0.053010878171592314,True
Cabo Verde,0.9735522083046272,0.015647383691271638,0.0038178937636398204,0.018202401268830652,0.08900960127273194,0.011057426679573278,0.0025779091496952082,0.01267617147444178,True
Costa Rica,0.878080580782762,0.026316373379206413,0.006160294113815647,0.02977533666764099,-1,0.04174863885334723,0.009566254720034615,0.04360416412093757,True
Cuba,0.9207515349752962,0.012939182171669646,0.003034125033423671,0.015171780492146195,-1,0.015225295552191298,0.0035012770789572415,0.016317397369287348,True
Curacao,0.9437863967885723,0.00700392736910172,0.001647332528554617,0.008028373096202596,-1,0.011594761709830426,0.0027002272911232014,0.012242937799889287,True
Cyprus,0.7394349311323649,0.016208759439402934,0.003886760818165332,0.03587116363680281,0.655827330635534,0.005497627393752947,0.0012583750808799505,0.006017535904214995,True
Czechia,0.8139092671920628,0.8199682167795515,0.011380497660895066,0.943244854098929,-1,1.3353045104699874,0.017394014758937672,1.4189763817427306,False
