,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
68,Euro area,EMU,923.044700638531,1005.24976873336,1107.11300918757,1231.55264705135,1357.93037159993,1471.1799842064,1591.74874625381,1716.87143021077,1830.38810063818,2029.04354947651,2238.05528494335,2522.33181047869,3026.31071537862,3903.88510722584,4402.59851732049,5079.41474682765,5277.95195759942,5979.39615209801,7291.47511002283,8795.16410474042,9806.29939985584,8488.39112856904,8194.84811743937,7978.51752993742,7640.73179818507,7835.27321479132,10969.7886966257,13531.6325888083,14833.4655174316,15088.2697309619,18903.2829635424,19551.282697572,21471.1946903549,19566.8395683417,20594.6361840956,23693.8336403208,23912.0932607415,21809.2080605513,22380.0114348633,22219.2675461211,20215.5536922064,20450.576713307,22213.0024200121,27193.0019619636,31004.9761022314,31947.6679669722,33794.8222587519,38715.4438625534,42353.1861913285,38578.9213931293,37605.0353764349,40656.4392727853,37594.9177191427,39119.9712010537,39913.1212610408,34388.8103723606,35164.0647840609,37157.1125976758,40045.5661943636,39183.1023427645,38161.6659419747,42472.3326927924,40755.0473759676,
73,European Union,EUU,,,,,,,,,,,1879.95676794786,2114.10498903666,2533.80663754571,3258.71672528863,3667.83835462028,4247.11887824738,4422.50137036475,4984.86126129865,6045.02254248456,7274.66624710148,8100.23928099162,7032.61411378253,6759.20339671997,6558.66960602845,6304.85697823447,6469.42383091895,9021.25806263406,11126.7332999396,12176.2763054948,12396.1013416927,15459.4947497804,15971.5608330007,17510.2287760748,15933.0713507771,16835.4772396691,19464.0938939364,19749.8728260853,18088.6085793125,18615.7750489267,18482.6129591796,16948.3308695398,17198.6615328609,18760.2138730705,22968.0287668932,26307.2470151759,27341.7104981904,29089.5482929004,33587.0265426094,37043.6319330055,33480.2285035152,32965.4363585412,35766.5639236888,33170.1582635748,34564.9279509325,35280.7488271727,30485.7582865714,31175.2158538517,33088.6745527209,35749.088058297,35077.7285770448,34332.6449639779,38436.149211449,37149.6085917605,
74,Fragile and conflict affected situations,FCS,,,,,,,,,163.076512573107,177.864499344058,212.458709253058,210.624111639096,235.754258635911,282.451072925997,410.350725848396,449.841039475407,516.556041937148,554.313044762641,603.259544021302,739.771493238807,907.618421065679,1239.913823025,1160.92714620436,966.514160713171,853.261389827461,851.648224042308,807.910687276128,813.925240643957,834.473971657016,810.441709517666,1141.84605523662,772.881764265377,686.986917536742,628.064549131339,588.314733508486,659.946726705879,667.11593376881,739.911163864207,716.646813311232,755.103658308183,858.562392428145,837.91090735109,802.664398019767,820.805636803946,1010.73545162072,1240.31686379482,1500.06615358143,1784.59342329015,2207.60386885029,1990.7504088272,2298.31625642138,2109.80043776455,2307.62701612208,2338.1259640506,2423.84658237199,1893.14062350273,1735.42658529158,1795.65929493451,1847.20742651938,1906.96740642914,1697.36750533401,1780.13414593765,1856.91563877566,
95,High income,HIC,1371.94802981913,1434.67225800799,1528.87234661975,1626.20102696257,1753.71992272326,1882.59585350128,2042.74262269283,2168.8411600282,2327.36804369691,2534.53869991847,2741.90799462066,3008.29325583688,3454.03874409093,4138.56788360706,4622.31405998695,5110.50654906184,5521.84618226515,6201.45568945665,7369.43385895214,8448.25744721331,9359.32017974155,9425.20412866962,9267.69792601134,9502.96569903663,9848.51076455582,10273.953395078,12391.5126857941,14264.5252193495,15949.3489194866,16565.9441862147,18476.8850773094,19381.6974651092,20675.6687986047,20673.9039480663,22096.6299308891,24375.9888392613,24420.1147608865,23844.4092256363,23781.4081220009,24825.5482416933,25191.0460137549,24790.1596016125,25689.1052869165,28619.1959750813,31668.2834941098,33273.2932722552,34886.1679817029,37890.9033063234,40040.8292982268,37226.650298594,38764.4468995418,41681.6423503065,41480.2027738746,41752.8000576397,42410.7482556388,39815.1402467714,40436.3619417573,42079.9179374498,44530.3800579065,44727.7346006187,43437.8943103859,48351.0720660842,49430.3293645734,
98,Heavily indebted poor countries (HIPC),HPC,105.794012020135,105.833659638231,112.449501012756,132.81000657306,115.45795318277,131.516797164881,139.669615173487,133.102028578953,137.395622072057,148.736346758224,151.502562886897,158.528989303812,167.950437548657,201.903960819171,233.957921364707,260.097666103919,268.738253092931,307.491215216489,353.411566705475,379.40042556614,403.40833044145,387.762251579351,373.241660724249,347.69578971744,340.138035866255,329.132483613913,368.536501803714,394.645002862412,405.50974981336,403.033759981002,453.925419060711,480.472373536738,351.539672600445,353.259371244165,290.485257455729,329.711392080563,348.288982357261,353.14133288345,362.449380211358,354.208530866435,373.726147213202,353.71392196453,371.742370720718,408.607541684583,457.004178650204,509.586225720173,584.665648696144,679.631379660481,786.961554744719,773.541467126228,831.132251297982,906.809493571077,912.773778423,986.931455571369,1018.50599310726,961.05912289048,978.109791276521,1051.22070001086,973.033541392666,980.443936644367,964.91637621707,1043.67963008607,1097.0516591685,
102,IBRD only,IBD,164.280859893695,160.722643617878,161.836062280751,169.579169887875,187.818092729401,201.353039959737,203.079781801191,203.783905051743,210.376139670126,229.437037459253,243.923182183373,260.114506651061,286.292495786328,362.969577280394,447.897112854981,474.318913612257,504.178588511705,560.548683853357,609.543046638974,697.340099407911,810.82479302968,858.599651719254,834.082417821414,805.984144149263,821.670551097255,837.475170362788,857.204660615761,866.309299668782,910.636236878301,931.962187336072,1053.26851716701,1001.4653773444,1037.58495304547,1098.42875492057,1179.05799834352,1313.82811900719,1415.1599250594,1480.18341564218,1419.07649793584,1364.55752797153,1467.06150982623,1467.85338657529,1473.30216725781,1638.36885719581,1931.67483231142,2284.61307209224,2681.63962310435,3298.16603717762,3918.60726638103,3762.43390888069,4529.80136052006,5309.50030271636,5583.26287649537,5827.25160119958,5959.81193021315,5524.93979758256,5513.37201767982,6033.40589351784,6363.72285385021,6450.76019852945,6170.42273178302,7275.45462599073,7658.32088697012,
103,IDA & IBRD total,IBT,152.861456470293,150.586793458632,152.542497034324,160.684021952218,174.29516825996,187.486986511082,190.232846291311,190.337415286827,196.25245218969,214.060639783399,229.506505259418,241.912166654342,263.666533795652,329.696118702962,409.062557050424,437.958629285386,462.495497018255,511.306567724315,556.627506678354,635.490770945561,738.48329285277,814.327855430782,783.598307736278,739.273715601448,741.828190690797,753.258596314059,767.104886444198,778.15434022817,809.565209023881,825.042507737948,930.017306435024,889.93193733588,907.31657450827,950.399312348947,1010.86321827464,1125.46026501194,1212.02678780089,1263.09974090575,1212.70475459931,1168.53917535991,1254.87927774585,1251.19486318242,1258.21535865761,1393.83399856239,1636.29631414268,1925.90051759693,2255.21513921838,2750.81349521723,3256.88298648662,3124.36006930922,3733.3957383485,4312.79211541486,4518.83046893675,4713.75426286519,4823.22717913561,4473.5452447004,4455.01334108558,4839.28174336473,5076.88440746253,5131.96671603115,4895.9749891472,5712.35778982205,5988.57279695996,
104,IDA total,IDA,97.351447881297,100.133637702939,104.899444193042,114.012380793656,108.741996090894,119.701211341695,126.347365909366,124.23223736129,127.221477731755,139.02786147919,157.346172947614,154.056589189785,157.094983706346,177.371470286457,230.321312985659,267.6780978489,270.77216633079,288.30807419948,317.967202556973,359.422881210908,417.963574605325,594.737770075108,544.539441012377,446.087850620746,403.283277528001,400.624459421706,394.98415012156,414.121003804416,399.590980262713,394.351549615117,437.585728739057,448.80679218887,396.902998726436,376.856282283566,366.112678838909,411.533363144371,451.099818055139,458.633516490192,456.771921000218,459.317296882125,496.815031048305,486.934949520518,510.209352493866,554.617731717266,635.387383643997,725.622433309397,847.332536935719,967.128415375326,1128.30390396554,1098.4284752974,1239.07676399834,1231.98229437594,1267.39189095552,1348.33814525028,1423.48680466244,1361.63277291469,1358.88632920905,1390.17031609944,1410.16581042278,1427.76901211753,1371.12917554267,1461.61016032231,1528.9727987133,
105,IDA blend,IDB,100.212991708538,104.671819159065,109.221799772813,112.729182670996,119.920830963571,126.888414974501,134.464883609171,131.673161024977,135.393917189066,150.85541236472,201.926922371899,182.712435221198,199.854739306337,207.486541145396,290.874146559665,325.128911569402,381.04985390418,389.954955666089,411.410244873923,489.592891088682,606.407516848835,1125.32299169809,994.229511610828,731.767946519858,610.102299065995,594.606290305256,519.73459003385,515.570784490563,513.379742324188,480.222607272417,514.373907365373,501.924006678434,491.268544170056,430.538276151306,421.20217100191,480.788170640805,516.504475820243,513.607656282312,494.020763022814,502.909569029918,557.376614868524,541.580213867891,582.978597223746,640.786108330672,760.511222782469,888.883407825103,1093.28968303638,1231.33108194928,1421.45119414565,1315.45762086409,1512.22166518003,1699.05645579183,1833.52275608738,1954.03318394757,2083.53595188821,1930.75022370839,1818.7524929092,1751.91664584804,1875.79861269869,1874.5846274451,1720.74122393904,1842.03199304628,1930.61281858042,
107,IDA only,IDX,99.1973863930879,101.207235177209,106.244625894454,118.477121652846,106.777664919997,120.107553485744,126.508305691233,124.662625961754,127.390975550489,137.775492426494,140.406940477814,144.848770539971,140.90035162785,168.106336857756,207.500046826449,247.539015159744,223.626955335962,245.798904771065,280.405735817177,303.933145727811,332.975622311917,334.419621683997,322.345754260542,305.718395016853,302.510369724476,305.885398023345,335.053016388614,365.780509881839,344.503104443561,352.823510289114,400.506928443911,424.047512224434,350.393625084193,351.349513663087,339.810849999542,378.151708902531,419.791620968516,432.630663271957,439.821980411253,439.045122072769,467.807160637652,460.815924140533,474.765060346249,512.517097736856,573.573729687955,644.56872693374,724.289017587127,835.133596591205,981.830522156214,990.022779268883,1102.16138546949,996.635922719367,981.987504964603,1043.1385988104,1091.21399218489,1075.7318853631,1128.68034518963,1209.69996683014,1178.52443284313,1206.13799722073,1198.15115452242,1273.74388066576,1330.8545441218,
