,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
34,Central African Republic,CAF,,,,,,,,,,,,,,,,,,,3.17053008079529,,,,,,,,2.20775008201599,2.54804992675781,,,2.2441999912262,2.27630996704102,,,,,,,,1.69001996517181,1.61265003681183,,1.5195699930191,1.53980004787445,1.6245299577713,1.65222001075745,1.41506004333496,1.31332004070282,1.29000997543335,1.25458002090454,1.11760997772217,1.10792005062103,1.98035001754761,2.63821005821228,2.22014999389648,1.91023004055023,1.7540899515152,1.75364995002747,1.56587994098663,1.76871001720428,2.16669988632202,,,
35,Canada,CAN,,,,,,,,,,,,7.71018981933594,7.61540985107422,7.03749990463257,6.68963003158569,6.4429497718811,6.72099018096924,6.73353004455566,7.09767007827759,6.71474981307983,6.48467016220093,6.43061017990112,6.51913976669312,6.88043022155762,6.64404010772705,6.2128701210022,6.04418992996216,6.32446002960205,6.17614984512329,6.09832000732422,5.9919900894165,6.88430023193359,6.77093982696533,7.70425987243652,6.68001985549927,6.32445001602173,,,5.49377012252808,5.53079986572266,5.42331981658936,4.95303010940552,4.99308013916016,,,4.76588010787964,,4.7664098739624,4.62612009048462,4.84057998657227,5.356369972229,5.26205015182495,4.69258737564087,4.5890097618103,4.84358978271484,4.7393798828125,4.81642007827759,4.95996999740601,4.8889799118042,4.77293014526367,5.17000007629395,,,
37,Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,4.23046016693115,4.19338989257813,4.25959014892578,4.36351013183594,4.22355985641479,4.17113018035889,4.20654010772705,4.16285991668701,4.22726011276245,4.13967990875244,4.38824987411499,4.54125022888184,,4.94043016433716,4.90476989746094,4.9087700843811,4.91729021072388,,4.74490022659302,4.74921989440918,4.64836978912354,4.81137990951538,5.16421985626221,5.36935997009277,5.29307985305786,5.05740022659302,4.81757020950317,4.55798006057739,4.73192977905273,4.89041996002197,4.76562976837158,4.815269947052,4.85834980010986,4.8690299987793,4.87779998779297,4.93844985961914,4.92645978927612,4.9515700340271,4.86325979232788,5.09326410293579,5.21999979019165,,,
39,Chile,CHL,,,,,,,,,,,,,,,3.75120997428894,3.59472990036011,,,3.07045006752014,3.48236989974976,4.21999979019165,4.91429996490479,,,,,,2.8232901096344,,,2.25015997886658,,,2.38371992111206,2.51182007789612,2.56469988822937,2.79625010490417,3.01245999336243,3.34015011787415,3.72921991348267,3.77583003044128,,4.08121013641357,3.96345996856689,3.53838992118835,3.26283001899719,3.02152991294861,3.21378993988037,3.79242992401123,4.23064994812012,4.16208982467651,4.04518985748291,4.54170417785645,4.52942991256714,4.73094987869263,4.87530994415283,5.34201002120972,5.41966009140015,5.43316984176636,5.61812019348145,,,,
40,China,CHN,,,,,,,,,,,,1.38873994350433,1.60476005077362,1.65082001686096,1.76115000247955,1.70850002765656,1.81657004356384,1.74953997135162,1.95884001255035,2.14805006980896,1.91190004348755,1.94880998134613,2.03448009490967,2.07692003250122,1.99863004684448,2.00814008712769,2.06154990196228,1.80425000190735,1.76417994499207,,,,1.65455996990204,1.65785002708435,1.98571002483368,1.84192001819611,1.85338997840881,,1.84432995319366,1.88803994655609,,,,,,2.39000010490417,2.44000005722046,2.70000004768372,3.63000011444092,3.75,3.75,3.52196002006531,4.07742977142334,3.85250997543335,3.72663998603821,3.82487010955811,3.79362010955811,3.66744995117188,3.54249000549316,3.53999996185303,3.5699999332428,,,
41,Cote d'Ivoire,CIV,,,,,,,,,,,5.86538982391357,,7.53185987472534,7.04560995101929,5.69039011001587,6.78573989868164,6.46212005615234,,6.75367021560669,8.23138999938965,6.85975980758667,,,,,,,,,,,,6.78113985061646,6.50304985046387,4.78869009017944,4.3014497756958,2.72476005554199,2.61811995506287,2.43498992919922,2.68529009819031,2.40031003952026,2.44477009773254,2.81048011779785,2.86437010765076,2.91176009178162,2.91944003105164,2.8199999332428,3.01613998413086,3.09853005409241,3.1739399433136,3.24651002883911,2.86576008796692,3.4344699382782,3.45860004425049,3.31416988372803,3.49415993690491,3.97232007980347,3.80347990989685,3.23993992805481,3.71637988090515,3.44302010536194,,,
42,Cameroon,CMR,,,,,,,,,,,,3.07986998558044,3.36388993263245,,,,,,,,,,2.98497009277344,3.4968900680542,3.24637007713318,,2.84834003448486,2.93091011047363,2.71473002433777,2.64896011352539,3.28710007667542,3.22023010253906,2.75099992752075,,,,,,,,1.70284998416901,2.29733991622925,,2.82259011268616,2.79530000686646,2.65651988983154,2.53991007804871,2.87815999984741,2.49827003479004,2.90790009498596,2.84803009033203,2.65336990356445,2.60306000709534,2.6554799079895,2.58396005630493,2.65791988372803,2.56234002113342,3.05962991714478,3.03096008300781,3.08087992668152,3.16616010665894,,,
45,Colombia,COL,,,,,,,,,,,,,,,,,,,,1.75434005260468,1.72912001609802,2.59723997116089,,,3.00429010391235,2.71527004241943,,,,2.70525002479553,,,,,,,,,3.92644000053406,4.44080018997192,3.5112099647522,3.70867991447449,4.26812982559204,4.32513999938965,4.07934999465942,4.02098989486694,3.91671991348267,4.08301019668579,3.9387800693512,4.77651977539063,4.83382987976074,4.46608018875122,4.37038993835449,4.87855005264282,4.62945985794067,4.47038984298706,4.47721004486084,4.53551006317139,4.44910001754761,4.5062198638916,4.93310022354126,,,
48,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,7.34716987609863,,4.88506984710693,4.95777988433838,,,4.42026996612549,,4.01322984695435,4.07784986495972,,,,,,3.35272002220154,3.89071989059448,,,5.39436006546021,4.66695022583008,4.83202981948853,5.15044021606445,5.13373994827271,4.89062976837158,,4.61613988876343,4.6345100402832,4.88697004318237,6.01030015945435,6.56574010848999,6.37988996505737,6.58239984512329,6.68739986419678,6.67952013015747,6.87349987030029,6.89395999908447,7.06980991363525,6.76991987228394,6.79584980010986,6.71066999435425,,,
50,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,8.36909008026123,,,,,,,,,,,7.14496994018555,,7.07476997375488,5.61948013305664,,,,6.20873022079468,6.75523996353149,7.70481014251709,8.3580904006958,9.57116985321045,9.9408597946167,10.2682304382324,10.5577802658081,9.05716991424561,11.8682098388672,14.0590801239014,13.1248598098755,12.8373098373413,,1.15516604637378e-05,1.06716961454367e-05,9.60746911005117e-06,8.96333767741453e-06,9.0131334218313e-06,8.44410442368826e-06,8.02498743723845e-06,9.04697026271606e-06,1.15247967187315e-05,,,
