,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
15,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,66.0,69.0,74.0,74.0,70.0,73.0,75.0,76.0,77.0,76.0,77.0,77.0,75.0,78.0,79.0,81.0,81.0,81.0,87.0,89.0,93.0,94.0,96.0,97.0,95.0,95.0,94.0,79.0,89.0,,
16,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,36.0,33.0,44.0,26.0,36.0,55.0,68.0,51.0,82.0,86.0,83.0,80.0,63.0,48.0,73.0,73.0,74.0,65.0,79.0,80.0,81.0,81.0,82.0,83.0,87.0,92.0,99.0,92.0,94.0,96.0,96.0,96.0,96.0,95.0,94.0,94.0,91.0,90.0,93.0,93.0,94.0,,
17,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,80.0,94.0,93.0,92.0,95.0,97.0,96.0,94.0,95.0,87.0,79.0,87.0,95.0,95.0,95.0,95.0,95.0,97.0,98.0,98.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,98.0,,
18,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,25.0,30.0,48.0,74.0,69.0,73.0,75.0,81.0,67.0,66.0,66.0,70.0,74.0,78.0,76.0,75.0,73.0,72.0,70.0,74.0,82.0,75.0,79.0,76.0,75.0,80.0,77.0,74.0,74.0,76.0,76.0,76.0,76.0,72.0,76.0,,
19,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,23.0,34.0,44.0,66.0,53.0,39.0,39.0,36.0,34.0,37.0,39.0,15.0,15.0,45.0,62.0,69.0,79.0,79.0,82.0,86.0,89.0,93.0,92.0,91.0,91.0,90.0,88.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,,
20,Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,9.0,16.0,49.0,69.0,74.0,66.0,74.0,84.0,69.0,77.0,78.0,77.0,80.0,82.0,85.0,83.0,87.0,99.0,93.0,94.0,94.0,96.0,97.0,94.0,96.0,94.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,93.0,96.0,95.0,94.0,95.0,96.0,93.0,94.0,93.0,96.0,95.0,96.0,95.0,95.0,95.0,94.0,94.0,95.0,95.0,95.0,88.0,91.0,92.0,92.0,92.0,93.0,91.0,89.0,,
22,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,72.0,75.0,79.0,83.0,86.0,90.0,92.0,95.0,96.0,96.0,94.0,99.0,94.0,94.0,96.0,95.0,96.0,98.0,98.0,97.0,97.0,99.0,98.0,97.0,98.0,98.0,98.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,97.0,99.0,99.0,98.0,98.0,,
23,"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,36.0,55.0,69.0,65.0,69.0,86.0,85.0,85.0,85.0,86.0,86.0,92.0,92.0,91.0,91.0,87.0,85.0,86.0,89.0,82.0,99.0,99.0,94.0,92.0,93.0,93.0,95.0,95.0,93.0,96.0,99.0,98.0,98.0,97.0,96.0,95.0,94.0,94.0,90.0,89.0,83.0,75.0,,
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,38.0,82.0,55.0,67.0,79.0,89.0,90.0,85.0,91.0,80.0,87.0,84.0,93.0,87.0,95.0,91.0,90.0,89.0,88.0,92.0,89.0,86.0,82.0,78.0,75.0,73.0,73.0,73.0,73.0,,
